Chinese,Pinyin,English,HSK,Game level,Village use,Practice
回答,huídá,answer,2,23,Community office: sentence and correction reward multiplier,Target/weapon + matching; reuse in sentences
懂,dǒng,understand,2,23,Community office: sentence and correction reward multiplier,Target/weapon + matching; reuse in sentences
知道,zhīdào,know,2,23,Community office: sentence and correction reward multiplier,Target/weapon + matching; reuse in sentences
告诉,gàosu,tell,2,23,Community office: sentence and correction reward multiplier,Target/weapon + matching; reuse in sentences
介绍,jièshào,introduce,2,23,Community office: sentence and correction reward multiplier,Target/weapon + matching; reuse in sentences
意思,yìsi,meaning,2,23,Community office: sentence and correction reward multiplier,Target/weapon + matching; reuse in sentences
觉得,juéde,think / feel,2,23,Community office: sentence and correction reward multiplier,Target/weapon + matching; reuse in sentences
对,duì,correct / toward,2,23,Community office: sentence and correction reward multiplier,Target/weapon + matching; reuse in sentences
错,cuò,incorrect,2,23,Community office: sentence and correction reward multiplier,Target/weapon + matching; reuse in sentences
事情,shìqing,matter / affair,2,23,Community office: sentence and correction reward multiplier,Target/weapon + matching; reuse in sentences
得,de,degree-complement particle,2,23,Community office: sentence and correction reward multiplier,Context/order + matching
开始,kāishǐ,begin,2,24,Town hall: advanced sentence multiplier and final district,Target/weapon + matching; reuse in sentences
准备,zhǔnbèi,prepare,2,24,Town hall: advanced sentence multiplier and final district,Target/weapon + matching; reuse in sentences
完,wán,finish,2,24,Town hall: advanced sentence multiplier and final district,Target/weapon + matching; reuse in sentences
已经,yǐjīng,already,2,24,Town hall: advanced sentence multiplier and final district,Target/weapon + matching; reuse in sentences
正在,zhèngzài,currently doing,2,24,Town hall: advanced sentence multiplier and final district,Target/weapon + matching; reuse in sentences
着,zhe,ongoing-state particle,2,24,Town hall: advanced sentence multiplier and final district,Context/order + matching
过,guo,experience particle,2,24,Town hall: advanced sentence multiplier and final district,Context/order + matching
再,zài,again,2,24,Town hall: advanced sentence multiplier and final district,Target/weapon + matching; reuse in sentences
就,jiù,then / just,2,24,Town hall: advanced sentence multiplier and final district,Context/order + matching
可以,kěyǐ,can / may,2,24,Town hall: advanced sentence multiplier and final district,Target/weapon + matching; reuse in sentences
可能,kěnéng,possible / might,2,24,Town hall: advanced sentence multiplier and final district,Target/weapon + matching; reuse in sentences
让,ràng,let / allow,2,24,Town hall: advanced sentence multiplier and final district,Context/order + matching
别,bié,don't,2,24,Town hall: advanced sentence multiplier and final district,Target/weapon + matching; reuse in sentences
希望,xīwàng,hope,2,24,Town hall: advanced sentence multiplier and final district,Target/weapon + matching; reuse in sentences
等,děng,wait,2,24,Town hall: advanced sentence multiplier and final district,Target/weapon + matching; reuse in sentences
因为,yīnwèi,because,2,25,Council: sentence-linking reward multiplier,Context/order + matching
所以,suǒyǐ,therefore,2,25,Council: sentence-linking reward multiplier,Context/order + matching
但是,dànshì,but,2,25,Council: sentence-linking reward multiplier,Context/order + matching
为什么,wèi shénme,why,2,25,Council: sentence-linking reward multiplier,Target/weapon + matching; reuse in sentences
